cluster_id,pattern_name,total_plays,goals,shots,losses,avg_duration,avg_forward_progress,avg_events,wing_plays
629,Mixed Attack Slow Build Mid,2,0,0,2,28.327999999999975,20.465,20.0,1
630,Central Attack Slow Build Deep,2,0,2,0,11.378000000000156,49.629999999999995,8.0,0
631,Wing Attack Slow Build Mid,2,0,0,2,19.52000000000021,28.18,10.0,2
632,Mixed Attack Medium Deep,2,0,0,2,7.207000000000029,61.120000000000005,5.0,1
633,Mixed Attack Slow Build Deep,2,0,0,2,11.895499999999842,32.565,8.0,1
634,Wing Attack Slow Build Mid,2,0,0,2,26.74350000000021,27.83,20.5,2
635,Mixed Attack Medium Short,2,0,0,2,8.591499999999996,16.735,7.0,1
636,Mixed Attack Slow Build Deep,2,0,0,2,15.848999999999961,45.485,10.5,1
637,Mixed Attack Medium Deep,2,0,0,2,7.307500000000033,33.43,6.5,1
638,Wing Attack Medium Deep,2,0,0,2,5.654999999999973,30.715,5.0,2
639,Central Attack Slow Build Deep,2,0,0,2,21.137000000000057,79.13,11.0,0
640,Central Attack Slow Build Short,2,0,0,2,28.061500000000024,9.715000000000002,15.0,0
641,Wing Attack Slow Build Deep,2,0,0,2,18.58550000000014,42.835,12.0,2
642,Wing Attack Slow Build Mid,2,0,0,2,20.05349999999987,25.325,13.5,2
643,Wing Attack Medium Short,2,0,0,2,5.588999999999714,18.615,4.5,2
644,Wing Attack Slow Build Deep,2,0,0,2,27.44399999999996,41.315,17.5,2
645,Mixed Attack Slow Build Mid,2,0,0,2,13.229499999999689,29.839999999999996,9.0,1
646,Wing Attack Medium Deep,2,0,0,2,9.40949999999998,30.165,5.0,2
647,Central Attack Fast Deep,2,0,0,2,4.588500000000295,65.64999999999999,3.5,0
648,Wing Attack Slow Build Deep,2,0,1,1,18.20150000000001,75.695,11.5,2
649,Mixed Attack Slow Build Deep,2,0,0,2,18.58550000000014,46.32,13.5,1
650,Wing Attack Slow Build Deep,2,0,0,2,22.172000000000025,62.22,12.5,2
651,Mixed Attack Slow Build Deep,2,0,0,2,10.443499999999858,36.205,7.5,1
652,Wing Attack Slow Build Short,2,0,0,2,18.401999999999816,8.780000000000001,14.0,2
653,Central Attack Slow Build Deep,2,0,0,2,26.392999999999574,49.56,9.0,0
